question,type,true_answer,pred_answer,correct_answer,false_positive_answer,false_negative_answer,true_explanation,pred_explanation,correct_explanation,false_positive_explanation,false_negative_explanation
Which is the email of Giulia Rossi?,single table single row,['giulia.rossi@student.edu'],['giulia.rossi@student.edu'],['giulia.rossi@student.edu'],[],[],"[('students.csv', '0')]","[('students.csv', '0')]","[('students.csv', '0')]",[],[]
Which is the department of the teacher Laura Bianchi?,two tables single join,['Computer Science'],['Computer Science'],['Computer Science'],[],[],"[('teachers.csv', '1')]","[('courses.csv', '1')]",[],"[('courses.csv', '1')]","[('teachers.csv', '1')]"
How many credits has the course Software Engineering?,single table single row,['6'],['6'],['6'],[],[],"[('courses.csv', '5')]","[('courses.csv', '5')]","[('courses.csv', '5')]",[],[]
In which building is the class 401?,single table single row,['Electronics'],['Electronics'],['Electronics'],[],[],"[('classrooms.csv', '5')]","[('classrooms.csv', '5')]","[('classrooms.csv', '5')]",[],[]
In which semester is done the Cybersecurity course?,single table single row,['Fall'],['Fall'],['Fall'],[],[],"[('courses.csv', '8')]","[('courses.csv', '8')]","[('courses.csv', '8')]",[],[]
In which classroom is the Database Systems exam?,three tables two join,['Main'],['2'],[],['2'],['Main'],"[('courses.csv', '1'), ('exams.csv', '1'), ('classrooms.csv', '1')]","[('exams.csv', '1')]","[('exams.csv', '1')]",[],"[('courses.csv', '1'), ('classrooms.csv', '1')]"
"In which area is the ""User Experience Design in Web Apps"" thesis?",single table single row,['Human-Computer Interaction'],['Human-Computer Interaction'],['Human-Computer Interaction'],[],[],"[('thesis.csv', '4')]","[('thesis.csv', '4')]","[('thesis.csv', '4')]",[],[]
Which instructor teaches Machine Learning course?,single table single row,['Carlo Rossi'],['Carlo Rossi'],['Carlo Rossi'],[],[],"[('courses.csv', '0')]","[('courses.csv', '0')]","[('courses.csv', '0')]",[],[]
Which is the research area of the teacher Carlo Rossi?,two tables single join,['Artificial Intelligence'],['Artificial Intelligence'],['Artificial Intelligence'],[],[],"[('teachers.csv', '0'), ('teacher_research_areas.csv', '0')]","[('teacher_research_areas.csv', '0')]","[('teacher_research_areas.csv', '0')]",[],"[('teachers.csv', '0')]"
How many research project follows the teacher Giulia Colombo?,two tables single join,['5'],['5'],['5'],[],[],"[('teachers.csv', '5'), ('teacher_research_areas.csv', '5')]","[('teacher_research_areas.csv', '5')]","[('teacher_research_areas.csv', '5')]",[],"[('teachers.csv', '5')]"
When is the machine learning exam?,two tables single join,['2023-01-10'],['2023-01-10'],['2023-01-10'],[],[],"[('courses.csv', '0'), ('exams.csv', '0')]","[('exams.csv', '0')]","[('exams.csv', '0')]",[],"[('courses.csv', '0')]"
In which courses Giulia Rossi is enrolled?,two tables single join,"['Machine Learning', 'Advanced Algorithms']","['Machine Learning', 'Human-Computer Interaction', 'Software Engineering']",['Machine Learning'],"['Human-Computer Interaction', 'Software Engineering']",['Advanced Algorithms'],"[('students.csv', '0'), ('enrollments.csv', '0'), ('enrollments.csv', '3'), ('courses.csv', '0'), ('courses.csv', '3')]","[('courses.csv', '0'), ('courses.csv', '9'), ('courses.csv', '5')]","[('courses.csv', '0')]","[('courses.csv', '9'), ('courses.csv', '5')]","[('students.csv', '0'), ('enrollments.csv', '0'), ('enrollments.csv', '3'), ('courses.csv', '3')]"
What is the grade of Giulia Rossi for the Machine Learning course?,three tables two join,['28'],['28'],['28'],[],[],"[('students.csv', '0'), ('courses.csv', '0'), ('grades.csv', '0')]","[('grades.csv', '0')]","[('grades.csv', '0')]",[],"[('students.csv', '0'), ('courses.csv', '0')]"
Who is the teacher following Sophie Durand in her thesis?,three tables two join,['Luca Esposito'],['Laura Bianchi'],[],['Laura Bianchi'],['Luca Esposito'],"[('students.csv', '2'), ('thesis.csv', '2'), ('teachers.csv', '8')]","[('teachers.csv', '1')]",[],"[('teachers.csv', '1')]","[('students.csv', '2'), ('thesis.csv', '2'), ('teachers.csv', '8')]"
What are all the courses offered by the Computer Science department?,single table multiple rows,"['Database Systems', 'Advanced Algorithms', 'Machine Learning', 'Human-Computer Interaction', 'Software Engineering', 'Cybersecurity', 'Data Mining', 'Artificial Intelligence']","['Machine Learning', 'Database Systems', 'Software Engineering', 'Advanced Algorithms', 'Data Mining', 'Artificial Intelligence', 'Human-Computer Interaction', 'Cybersecurity']","['Human-Computer Interaction', 'Database Systems', 'Advanced Algorithms', 'Software Engineering', 'Data Mining', 'Artificial Intelligence', 'Machine Learning', 'Cybersecurity']",[],[],"[('courses.csv', '1'), ('courses.csv', '3'), ('courses.csv', '0'), ('courses.csv', '9'), ('courses.csv', '5'), ('courses.csv', '8'), ('courses.csv', '6'), ('courses.csv', '7')]","[('courses.csv', '0'), ('courses.csv', '1'), ('courses.csv', '5'), ('courses.csv', '3'), ('courses.csv', '6'), ('courses.csv', '7'), ('courses.csv', '9')]","[('courses.csv', '0'), ('courses.csv', '6'), ('courses.csv', '5'), ('courses.csv', '1'), ('courses.csv', '3'), ('courses.csv', '9'), ('courses.csv', '7')]",[],"[('courses.csv', '8')]"
What is the department name in which Antonio Gallo teaches?,two tables single join,['Electronics'],['Computer Science'],[],['Computer Science'],['Electronics'],"[('teachers.csv', '4'), ('departments.csv', '1')]","[('teachers.csv', '4'), ('departments.csv', '0')]","[('teachers.csv', '4')]","[('departments.csv', '0')]","[('departments.csv', '1')]"
What is the grade of Elena Gonzales for the Human-Computer Interaction exam?,three tables two join,['26'],['26'],['26'],[],[],"[('students.csv', '4'), ('courses.csv', '9'), ('grades.csv', '6')]","[('grades.csv', '6')]","[('grades.csv', '6')]",[],"[('students.csv', '4'), ('courses.csv', '9')]"
Which faculty does the Electronics department belong to?,single table single row,['Engineering'],['Engineering'],['Engineering'],[],[],"[('departments.csv', '1')]","[('departments.csv', '1')]","[('departments.csv', '1')]",[],[]
In which building will be the Embedded Systems exam?,three tables two join,['Science'],['Electronics'],[],['Electronics'],['Science'],"[('courses.csv', '2'), ('exams.csv', '2'), ('classrooms.csv', '2')]","[('classrooms.csv', '5')]",[],"[('classrooms.csv', '5')]","[('courses.csv', '2'), ('classrooms.csv', '2'), ('exams.csv', '2')]"
What is the title of the thesis followed by Alessandro Moretti?,two tables single join,[],[],[],[],[],"[('students.csv', 'None')]",[],[],[],"[('students.csv', 'None')]"
Which students have an enrollment date before 2022?,single table multiple rows,"['Lucas Schmidt', 'Sophie Durand']","['Lucas', 'Sophie']",[],"['Sophie', 'Lucas']","['Sophie Durand', 'Lucas Schmidt']","[('students.csv', '2'), ('students.csv', '3')]","[('enrollments.csv', '4'), ('students.csv', '2')]","[('students.csv', '2')]","[('enrollments.csv', '4')]","[('students.csv', '3')]"
What is the location of the Humanities Library?,single table single row,[],"[""I don't know""]",[],"[""I don't know""]",[],"[('departments.csv', 'None')]",[],[],[],"[('departments.csv', 'None')]"
How many students are enrolled in the Database Systems course?,two tables single join,['1'],['1'],['1'],[],[],"[('courses.csv', '1'), ('enrollments.csv', '1')]","[('enrollments.csv', '1')]","[('enrollments.csv', '1')]",[],"[('courses.csv', '1')]"
What are the research areas of Maria Ferrari?,two tables single join,['Human-Computer Interaction'],"['Human-Computer Interaction', 'Artificial Intelligence']",['Human-Computer Interaction'],['Artificial Intelligence'],[],"[('teachers.csv', '9'), ('teacher_research_areas.csv', '9')]","[('teacher_research_areas.csv', '9'), ('teacher_research_areas.csv', '0')]","[('teacher_research_areas.csv', '9')]","[('teacher_research_areas.csv', '0')]","[('teachers.csv', '9')]"
How many research projects are led by Laura Bianchi?,single table single row,['6'],['6'],['6'],[],[],"[('teachers.csv', '1'), ('teacher_research_areas.csv', '1')]","[('teacher_research_areas.csv', '1')]","[('teacher_research_areas.csv', '1')]",[],"[('teachers.csv', '1')]"
Which students have a grade higher than 27 in any course?,two tables single join,['Sophie Durand'],"['1', '3', '3']",[],"['3', '1']",['Sophie Durand'],"[('grades.csv', '2'), ('grades.csv', '5'), ('grades.csv', '7'), ('students.csv', '2')]","[('grades.csv', '0'), ('grades.csv', '5'), ('grades.csv', '2')]","[('grades.csv', '5'), ('grades.csv', '2')]","[('grades.csv', '0')]","[('students.csv', '2'), ('grades.csv', '7')]"
Which classroom has the highest capacity?,single table single row,['Engineering'],['5'],[],['5'],['Engineering'],"[('classrooms.csv', '4')]","[('classrooms.csv', '4')]","[('classrooms.csv', '4')]",[],[]
What is the day and time of the Software Engineering exam?,two tables single join,[],"['2023-05-30', '13:00']",[],"['2023-05-30', '13:00']",[],"[('courses.csv', '7'), ('exams.csv', 'None')]","[('exams.csv', '4')]",[],"[('exams.csv', '4')]","[('exams.csv', 'None'), ('courses.csv', '7')]"
Which courses have 8 credits?,single table multiple rows,"['Advanced Algorithms', 'Artificial Intelligence']",['Advanced Algorithms'],['Advanced Algorithms'],[],['Artificial Intelligence'],"[('courses.csv', '3'), ('courses.csv', '7')]","[('courses.csv', '3')]","[('courses.csv', '3')]",[],"[('courses.csv', '7')]"
