question,type,true_answer,pred_answer,correct_answer,false_positive_answer,false_negative_answer,true_explanation,pred_explanation,correct_explanation,false_positive_explanation,false_negative_explanation
Which is the email of Giulia Rossi?,single table single row,['giulia.rossi@student.edu'],['giulia.rossi@student.edu'],['giulia.rossi@student.edu'],[],[],"[('students.csv', '0')]","[('csv_data/students.csv', '0')]",[],"[('csv_data/students.csv', '0')]","[('students.csv', '0')]"
Which is the department of the teacher Laura Bianchi?,two tables single join,['Computer Science'],['Computer Science'],['Computer Science'],[],[],"[('teachers.csv', '1')]","[('teachers.csv', '1')]","[('teachers.csv', '1')]",[],[]
How many credits has the course Software Engineering?,single table single row,['6'],['6'],['6'],[],[],"[('courses.csv', '5')]","[('courses.csv', '4')]",[],"[('courses.csv', '4')]","[('courses.csv', '5')]"
In which building is the class 401?,single table single row,['Electronics'],['Electronics'],['Electronics'],[],[],"[('classrooms.csv', '5')]","[('classrooms.csv', '5')]","[('classrooms.csv', '5')]",[],[]
In which semester is done the Cybersecurity course?,single table single row,['Fall'],['Fall'],['Fall'],[],[],"[('courses.csv', '8')]","[('courses.csv', '8')]","[('courses.csv', '8')]",[],[]
In which classroom is the Database Systems exam?,three tables two join,['Main'],['Classroom 2'],[],['Classroom 2'],['Main'],"[('courses.csv', '1'), ('exams.csv', '1'), ('classrooms.csv', '1')]","[('exams.csv', '1')]","[('exams.csv', '1')]",[],"[('courses.csv', '1'), ('classrooms.csv', '1')]"
"In which area is the ""User Experience Design in Web Apps"" thesis?",single table single row,['Human-Computer Interaction'],['Human-Computer Interaction'],['Human-Computer Interaction'],[],[],"[('thesis.csv', '4')]","[('thesis.csv', '4')]","[('thesis.csv', '4')]",[],[]
Which instructor teaches Machine Learning course?,single table single row,['Dr. Rossi'],['Carlo Rossi'],[],['Carlo Rossi'],['Dr. Rossi'],"[('courses.csv', '0')]","[('courses.csv', '0')]","[('courses.csv', '0')]",[],[]
Which is the research area of the teacher Carlo Rossi?,two tables single join,['Artificial Intelligence'],['Artificial Intelligence'],['Artificial Intelligence'],[],[],"[('teachers.csv', '0'), ('teacher_research_areas.csv', '0')]","[('csv_data/teacher_research_areas.csv', '0')]",[],"[('csv_data/teacher_research_areas.csv', '0')]","[('teacher_research_areas.csv', '0'), ('teachers.csv', '0')]"
How many research project follows the teacher Giulia Colombo?,two tables single join,['5'],"['Software Engineering', 'Cybersecurity', 'Data Science', 'Artificial Intelligence', 'Algorithms Optimization', 'Signal Processing', 'Machine Learning', 'Data Mining', 'Human-Computer Interaction', 'Robotics']",[],"['Algorithms Optimization', 'Machine Learning', 'Artificial Intelligence', 'Signal Processing', 'Robotics', 'Data Science', 'Data Mining', 'Cybersecurity', 'Software Engineering', 'Human-Computer Interaction']",['5'],"[('teachers.csv', '5'), ('teacher_research_areas.csv', '5')]","[('teacher_research_areas.csv', '5'), ('teacher_research_areas.csv', '8'), ('teacher_research_areas.csv', '1'), ('teacher_research_areas.csv', '6'), ('teacher_research_areas.csv', '3'), ('teacher_research_areas.csv', '4'), ('teacher_research_areas.csv', '7'), ('teacher_research_areas.csv', '2'), ('teacher_research_areas.csv', '9'), ('teacher_research_areas.csv', '4')]","[('teacher_research_areas.csv', '5')]","[('teacher_research_areas.csv', '4'), ('teacher_research_areas.csv', '9'), ('teacher_research_areas.csv', '6'), ('teacher_research_areas.csv', '3'), ('teacher_research_areas.csv', '7'), ('teacher_research_areas.csv', '1'), ('teacher_research_areas.csv', '8'), ('teacher_research_areas.csv', '2')]","[('teachers.csv', '5')]"
When is the machine learning exam?,two tables single join,['2023-01-10'],['Machine Learning'],[],['Machine Learning'],['2023-01-10'],"[('courses.csv', '0'), ('exams.csv', '0')]","[('courses.csv', '0')]","[('courses.csv', '0')]",[],"[('exams.csv', '0')]"
In which courses Giulia Rossi is enrolled?,two tables single join,"['Machine Learning', 'Advanced Algorithms']",[],[],[],"['Advanced Algorithms', 'Machine Learning']","[('students.csv', '0'), ('enrollments.csv', '0'), ('enrollments.csv', '3'), ('courses.csv', '0'), ('courses.csv', '3')]",[],[],[],"[('courses.csv', '0'), ('enrollments.csv', '3'), ('students.csv', '0'), ('courses.csv', '3'), ('enrollments.csv', '0')]"
What is the grade of Giulia Rossi for the Machine Learning course?,three tables two join,['28'],"[""I don't know""]",[],"[""I don't know""]",['28'],"[('students.csv', '0'), ('courses.csv', '0'), ('grades.csv', '0')]",[],[],[],"[('students.csv', '0'), ('grades.csv', '0'), ('courses.csv', '0')]"
Who is the teacher following Sophie Durand in her thesis?,three tables two join,['Luca Esposito'],['Maria Ferrari'],[],['Maria Ferrari'],['Luca Esposito'],"[('students.csv', '2'), ('thesis.csv', '2'), ('teachers.csv', '8')]","[('thesis.csv', '4')]",[],"[('thesis.csv', '4')]","[('students.csv', '2'), ('teachers.csv', '8'), ('thesis.csv', '2')]"
What are all the courses offered by the Computer Science department?,single table multiple rows,"['Database Systems', 'Advanced Algorithms', 'Machine Learning', 'Human-Computer Interaction', 'Software Engineering', 'Cybersecurity', 'Data Mining', 'Artificial Intelligence']","['Database Systems', 'Embedded Systems', 'Advanced Algorithms', 'Digital Signal Processing', 'Machine Learning', 'Software Engineering', 'Human-Computer Interaction', 'Cybersecurity', 'Artificial Intelligence', 'Data Mining']","['Machine Learning', 'Artificial Intelligence', 'Advanced Algorithms', 'Data Mining', 'Database Systems', 'Cybersecurity', 'Software Engineering', 'Human-Computer Interaction']","['Embedded Systems', 'Digital Signal Processing']",[],"[('courses.csv', '1'), ('courses.csv', '3'), ('courses.csv', '0'), ('courses.csv', '9'), ('courses.csv', '5'), ('courses.csv', '8'), ('courses.csv', '6'), ('courses.csv', '7')]","[('courses.csv', '1'), ('courses.csv', '2'), ('courses.csv', '3'), ('courses.csv', '4'), ('courses.csv', '5'), ('courses.csv', '6'), ('courses.csv', '7'), ('courses.csv', '8'), ('courses.csv', '9')]","[('courses.csv', '9'), ('courses.csv', '6'), ('courses.csv', '7'), ('courses.csv', '5'), ('courses.csv', '1'), ('courses.csv', '3'), ('courses.csv', '8')]","[('courses.csv', '2'), ('courses.csv', '4')]","[('courses.csv', '0')]"
What is the department name in which Antonio Gallo teaches?,two tables single join,['Electronics'],['Electronics'],['Electronics'],[],[],"[('teachers.csv', '4'), ('departments.csv', '1')]","[('teacher_research_areas.csv', '4')]",[],"[('teacher_research_areas.csv', '4')]","[('teachers.csv', '4'), ('departments.csv', '1')]"
What is the grade of Elena Gonzales for the Human-Computer Interaction exam?,three tables two join,['26'],['26'],['26'],[],[],"[('students.csv', '4'), ('courses.csv', '9'), ('grades.csv', '6')]","[('grades.csv', '6')]","[('grades.csv', '6')]",[],"[('courses.csv', '9'), ('students.csv', '4')]"
Which faculty does the Electronics department belong to?,single table single row,['Engineering'],['Engineering'],['Engineering'],[],[],"[('departments.csv', '1')]","[('departments.csv', '2')]",[],"[('departments.csv', '2')]","[('departments.csv', '1')]"
In which building will be the Embedded Systems exam?,three tables two join,['Science'],['Electronics'],[],['Electronics'],['Science'],"[('courses.csv', '2'), ('exams.csv', '2'), ('classrooms.csv', '2')]","[('classrooms.csv', '5')]",[],"[('classrooms.csv', '5')]","[('courses.csv', '2'), ('exams.csv', '2'), ('classrooms.csv', '2')]"
What is the title of the thesis followed by Alessandro Moretti?,two tables single join,[],['Artificial Intelligence'],[],['Artificial Intelligence'],[],"[('students.csv', 'None')]","[('courses.csv', '7')]",[],"[('courses.csv', '7')]","[('students.csv', 'None')]"
Which students have an enrollment date before 2022?,single table multiple rows,['2'],"['2020-08-25', '2021-01-10']",[],"['2020-08-25', '2021-01-10']",['2'],"[('students.csv', '2'), ('students.csv', '3')]","[('enrollments.csv', '4'), ('enrollments.csv', '7')]",[],"[('enrollments.csv', '7'), ('enrollments.csv', '4')]","[('students.csv', '2'), ('students.csv', '3')]"
What is the location of the Humanities Library?,single table single row,[],['Humanities Library'],[],['Humanities Library'],[],"[('departments.csv', 'None')]","[('departments.csv', '0')]",[],"[('departments.csv', '0')]","[('departments.csv', 'None')]"
How many students are enrolled in the Database Systems course?,two tables single join,['1'],[],[],[],['1'],"[('courses.csv', '1'), ('enrollments.csv', '1')]",[],[],[],"[('enrollments.csv', '1'), ('courses.csv', '1')]"
What are the research areas of Maria Ferrari?,two tables single join,['Human-Computer Interaction'],"['Artificial Intelligence', 'Human-Computer Interaction']",['Human-Computer Interaction'],['Artificial Intelligence'],[],"[('teachers.csv', '9'), ('teacher_research_areas.csv', '9')]","[('teacher_research_areas.csv', '0'), ('teacher_research_areas.csv', '9')]","[('teacher_research_areas.csv', '9')]","[('teacher_research_areas.csv', '0')]","[('teachers.csv', '9')]"
How many research projects are led by Laura Bianchi?,single table single row,['6'],['6'],['6'],[],[],"[('teachers.csv', '1'), ('teacher_research_areas.csv', '1')]","[('teacher_research_areas.csv', '1')]","[('teacher_research_areas.csv', '1')]",[],"[('teachers.csv', '1')]"
