Question,Iteration,Question Type,Answer Precision,Answer Recall,Answer F1,Exact Answer,Explanation Precision,Explanation Recall,Explanation F1,Exact Explanation
Which is the email of Giulia Rossi?,1,single table single row,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,1
Which is the email of Giulia Rossi?,2,single table single row,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,1
Which is the email of Giulia Rossi?,3,single table single row,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,1
Which is the name of the department where the teacher Laura Bianchi teaches?,1,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which is the name of the department where the teacher Laura Bianchi teaches?,2,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which is the name of the department where the teacher Laura Bianchi teaches?,3,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
How many credits has the course Software Engineering?,1,single table single row,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,1
How many credits has the course Software Engineering?,2,single table single row,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,1
How many credits has the course Software Engineering?,3,single table single row,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,1
In which building is the class with room number 401?,1,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
In which building is the class with room number 401?,2,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
In which building is the class with room number 401?,3,single table single row,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
In which semester is done the Cybersecurity course?,1,single table single row,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,1
In which semester is done the Cybersecurity course?,2,single table single row,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,1
In which semester is done the Cybersecurity course?,3,single table single row,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,1
In which classroom (room number) is the Database Systems exam?,1,three tables two join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
In which classroom (room number) is the Database Systems exam?,2,three tables two join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
In which classroom (room number) is the Database Systems exam?,3,three tables two join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
In which area is the 'User Experience Design in Web Apps' thesis?,1,single table single row,1.0000,1.0000,1.0000,1,0.0000,0.0000,0.0000,0
In which area is the 'User Experience Design in Web Apps' thesis?,2,single table single row,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,1
In which area is the 'User Experience Design in Web Apps' thesis?,3,single table single row,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000,1
"Which instructor (name, surname) teaches Machine Learning course?",1,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
"Which instructor (name, surname) teaches Machine Learning course?",2,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
"Which instructor (name, surname) teaches Machine Learning course?",3,two tables single join,0.0000,0.0000,0.0000,0,0.0000,0.0000,0.0000,0
Which is the research area of the teacher Carlo Rossi?,1,two tables single join,1.0000,1.0000,1.0000,1,0.0000,0.0000,0.0000,0
