course_id,course_name,department,credits,teacher,semester
101,Machine Learning,Computer Science,6,Carlo Rossi,Fall
102,Database Systems,Computer Science,6,Laura Bianchi,Spring
103,Embedded Systems,Electronics,6,Marco Verdi,Fall
104,Advanced Algorithms,Computer Science,8,Elisa Neri,Spring
105,Digital Signal Processing,Electronics,6,Antonio Gallo,Fall
106,Software Engineering,Computer Science,6,Giulia Colombo,Spring
107,Data Mining,Computer Science,6,Francesco Conti,Fall
108,Artificial Intelligence,Computer Science,8,Alessandro Moretti,Spring
109,Cybersecurity,Computer Science,6,Luca Esposito,Fall
110,Human-Computer Interaction,Computer Science,6,Maria Ferrari,Spring
