k,question_index,num_tokens,truncated
10,0,1301,False
10,1,1361,False
10,2,1353,False
10,3,1336,False
10,4,1353,False
10,5,1492,False
10,6,1538,False
10,7,824,False
10,8,824,False
10,9,1357,False
10,10,1335,False
10,11,1355,False
10,12,1436,False
10,13,1425,False
10,14,1947,False
10,15,822,False
10,16,1489,False
10,17,1394,False
10,18,1390,False
10,19,1370,False
10,20,1361,False
10,21,1376,False
10,22,1344,False
10,23,1359,False
10,24,987,False
10,25,1362,False
10,26,1365,False
10,27,1352,False
10,28,1365,False
10,29,1399,False
10,30,859,False
10,31,1445,False
10,32,1351,False
10,33,1317,False
10,34,1341,False
10,35,1348,False
10,36,1496,False
10,37,1333,False
10,38,1358,False
10,39,1381,False
10,40,1159,False
10,41,860,False
10,42,851,False
10,43,860,False
10,44,860,False
10,45,1304,False
11,0,1399,False
11,1,1451,False
11,2,1443,False
11,3,1423,False
11,4,1443,False
11,5,1603,False
11,6,1649,False
11,7,866,False
11,8,865,False
11,9,1458,False
11,10,1421,False
11,11,1447,False
11,12,1534,False
11,13,1535,False
11,14,2096,False
11,15,864,False
11,16,1582,False
11,17,1473,False
11,18,1492,False
11,19,1462,False
11,20,1453,False
11,21,1469,False
11,22,1427,False
11,23,1459,False
11,24,1041,False
11,25,1454,False
11,26,1466,False
11,27,1442,False
11,28,1457,False
11,29,1487,False
11,30,893,False
11,31,1537,False
11,32,1452,False
11,33,1409,False
11,34,1430,False
11,35,1436,False
11,36,1596,False
11,37,1416,False
11,38,1448,False
11,39,1473,False
11,40,1213,False
11,41,905,False
11,42,896,False
11,43,905,False
11,44,905,False
11,45,1399,False
12,0,1493,False
12,1,1541,False
12,2,1533,False
12,3,1512,False
12,4,1533,False
12,5,1710,False
12,6,1756,False
12,7,908,False
12,8,906,False
12,9,1536,False
12,10,1509,False
12,11,1539,False
12,12,1643,False
12,13,1630,False
12,14,2247,False
12,15,906,False
12,16,1684,False
12,17,1565,False
12,18,1599,False
12,19,1554,False
12,20,1543,False
12,21,1557,False
12,22,1516,False
12,23,1512,False
12,24,1095,False
12,25,1546,False
12,26,1544,False
12,27,1532,False
12,28,1549,False
12,29,1587,False
12,30,935,False
12,31,1635,False
12,32,1537,False
12,33,1487,False
12,34,1519,False
12,35,1526,False
12,36,1700,False
12,37,1514,False
12,38,1538,False
12,39,1565,False
12,40,1299,False
12,41,938,False
12,42,937,False
12,43,948,False
12,44,947,False
12,45,1493,False
13,0,1575,False
13,1,1631,False
13,2,1623,False
13,3,1598,False
13,4,1623,False
13,5,1811,False
13,6,1868,False
13,7,949,False
13,8,948,False
13,9,1625,False
13,10,1600,False
13,11,1629,False
13,12,1735,False
13,13,1719,False
13,14,2396,False
13,15,947,False
13,16,1794,False
13,17,1651,False
13,18,1713,False
13,19,1646,False
13,20,1635,False
13,21,1660,False
13,22,1598,False
13,23,1601,False
13,24,1149,False
13,25,1638,False
13,26,1626,False
13,27,1623,False
13,28,1641,False
13,29,1673,False
13,30,976,False
13,31,1727,False
13,32,1635,False
13,33,1569,False
13,34,1607,False
13,35,1617,False
13,36,1804,False
13,37,1615,False
13,38,1628,False
13,39,1657,False
13,40,1387,False
13,41,979,False
13,42,970,False
13,43,989,False
13,44,988,False
13,45,1585,False
14,0,1664,False
14,1,1721,False
14,2,1713,False
14,3,1685,False
14,4,1713,False
14,5,1916,False
14,6,1975,False
14,7,990,False
14,8,989,False
14,9,1704,False
