question,true_answer,pred_answer,correct_answer,false_positive_answer,false_negative_answer,true_explanation,pred_explanation,correct_explanation,false_positive_explanation,false_negative_explanation
Which is the email of Giulia Rossi?,['giulia.rossi@student.edu'],['giulia.rossi@student.edu'],['giulia.rossi@student.edu'],[],[],"[('students.csv', '0')]","[('students.csv', '0')]","[('students.csv', '0')]",[],[]
Which is the department of the teacher Laura Bianchi?,['Computer Science'],['Computer Science'],['Computer Science'],[],[],"[('teachers.csv', '1')]","[('teachers.csv', '1')]","[('teachers.csv', '1')]",[],[]
How many credits has the course Software Engineering?,['6'],['6'],['6'],[],[],"[('courses.csv', '5')]","[('courses.csv', '5')]","[('courses.csv', '5')]",[],[]
In which building is the class 401?,['Electronics'],['Electronics'],['Electronics'],[],[],"[('classrooms.csv', '5')]","[('classrooms.csv', '5')]","[('classrooms.csv', '5')]",[],[]
In which semester is done the Cybersecurity course?,['Fall'],['Fall'],['Fall'],[],[],"[('courses.csv', '8')]","[('courses.csv', '8')]","[('courses.csv', '8')]",[],[]
Which is the capacity of the class 302?,['100'],['100'],['100'],[],[],"[('classrooms.csv', '4')]","[('classrooms.csv', '4')]","[('classrooms.csv', '4')]",[],[]
"In which area is the \""User Experience Design in Web Apps\"" thesis?",['Human-Computer Interaction'],['Human-Computer Interaction'],['Human-Computer Interaction'],[],[],"[('thesis.csv', '4')]","[('thesis.csv', '4')]","[('thesis.csv', '4')]",[],[]
Which instructor teaches Machine Learning course?,['Dr. Rossi'],['Dr. Rossi'],['Dr. Rossi'],[],[],"[('courses.csv', '0')]","[('courses.csv', '0')]","[('courses.csv', '0')]",[],[]
Which is the research area of the teacher Carlo Rossi?,['Artificial Intelligence'],['Computer Science'],[],['Computer Science'],['Artificial Intelligence'],"[('teachers.csv', '0'), ('teacher_research_areas.csv', '0')]","[('teacher_research_areas.csv', '4')]",[],"[('teacher_research_areas.csv', '4')]","[('teachers.csv', '0'), ('teacher_research_areas.csv', '0')]"
How many research project follows the teacher Giulia Colombo?,['5'],['Software Engineering'],[],['Software Engineering'],['5'],"[('teachers.csv', '5'), ('teacher_research_areas.csv', '5')]","[('teacher_research_areas.csv', '5')]","[('teacher_research_areas.csv', '5')]",[],"[('teachers.csv', '5')]"
When is the machine learning exam?,['2023-01-10'],['Machine Learning'],[],['Machine Learning'],['2023-01-10'],"[('courses.csv', '0'), ('exams.csv', '0')]","[('courses.csv', '0')]","[('courses.csv', '0')]",[],"[('exams.csv', '0')]"
In which courses Giulia Rossi is enrolled?,"['Machine Learning', 'Advanced Algorithms']",['Computer Science'],[],['Computer Science'],"['Advanced Algorithms', 'Machine Learning']","[('students.csv', '0'), ('enrollments.csv', '0'), ('enrollments.csv', '3'), ('courses.csv', '0'), ('courses.csv', '3')]","[('teachers.csv', '0')]",[],"[('teachers.csv', '0')]","[('enrollments.csv', '3'), ('enrollments.csv', '0'), ('courses.csv', '3'), ('courses.csv', '0'), ('students.csv', '0')]"
What is the grade of Giulia Rossi for the Machine Learning course?,['28'],['B'],[],['B'],['28'],"[('students.csv', '0'), ('courses.csv', '0'), ('grades.csv', '0')]","[('courses.csv', '0')]","[('courses.csv', '0')]",[],"[('grades.csv', '0'), ('students.csv', '0')]"
Who is the teacher following Sophie Durand in her thesis?,['Luca Esposito'],['Maria'],[],['Maria'],['Luca Esposito'],"[('students.csv', '2'), ('thesis.csv', '2'), ('teachers.csv', '8')]","[('teachers.csv', '9')]",[],"[('teachers.csv', '9')]","[('thesis.csv', '2'), ('students.csv', '2'), ('teachers.csv', '8')]"
What are all the courses offered by the Computer Science department?,"['Database Systems', 'Advanced Algorithms', 'Machine Learning', 'Human-Computer Interaction', 'Software Engineering', 'Cybersecurity', 'Data Mining', 'Artificial Intelligence']","['Database Systems', 'Advanced Algorithms', 'Machine Learning', 'Human-Computer Interaction', 'Software Engineering', 'Cybersecurity', 'Data Mining', 'Artificial Intelligence']","['Machine Learning', 'Human-Computer Interaction', 'Database Systems', 'Data Mining', 'Software Engineering', 'Artificial Intelligence', 'Cybersecurity', 'Advanced Algorithms']",[],[],"[('courses.csv', '1'), ('courses.csv', '3'), ('courses.csv', '0'), ('courses.csv', '9'), ('courses.csv', '5'), ('courses.csv', '8'), ('courses.csv', '6'), ('courses.csv', '7')]","[('courses.csv', '1'), ('courses.csv', '3'), ('courses.csv', '0'), ('courses.csv', '9'), ('courses.csv', '5'), ('courses.csv', '8'), ('courses.csv', '6'), ('courses.csv', '7')]","[('courses.csv', '6'), ('courses.csv', '8'), ('courses.csv', '9'), ('courses.csv', '3'), ('courses.csv', '5'), ('courses.csv', '7'), ('courses.csv', '0'), ('courses.csv', '1')]",[],[]
Which students are enrolled in the Artificial Intelligence course?,[],['Computer Science'],[],['Computer Science'],[],"[('courses.csv', '7'), ('enrollments.csv', '')]","[('courses.csv', '7')]","[('courses.csv', '7')]",[],"[('enrollments.csv', '')]"
What is the enrollment date of Lucas Schmidt?,['2020-08-25'],['2020-08-25'],['2020-08-25'],[],[],"[('students.csv', '3')]","[('enrollments.csv', '2')]",[],"[('enrollments.csv', '2')]","[('students.csv', '3')]"
Which faculty does the Electronics department belong to?,['Engineering'],['Engineering'],['Engineering'],[],[],"[('departments.csv', '1')]","[('departments.csv', '2')]",[],"[('departments.csv', '2')]","[('departments.csv', '1')]"
Who is the instructor of the Data Mining course?,['Dr. Conti'],['Dr. Conti'],['Dr. Conti'],[],[],"[('courses.csv', '6')]","[('courses.csv', '6')]","[('courses.csv', '6')]",[],[]
What is the title of the thesis followed by Alessandro Moretti?,[],['Deep Learning for Image Recognition'],[],['Deep Learning for Image Recognition'],[],"[('students.csv', '')]","[('thesis.csv', '0')]",[],"[('thesis.csv', '0')]","[('students.csv', '')]"
Which students have an enrollment date before 2022?,['2'],['4'],[],['4'],['2'],"[('students.csv', '2'), ('students.csv', '3')]","[('enrollments.csv', '5')]",[],"[('enrollments.csv', '5')]","[('students.csv', '3'), ('students.csv', '2')]"
What is the location of the Humanities Library?,[],['Humanities'],[],['Humanities'],[],"[('departments.csv', '')]","[('departments.csv', '0')]",[],"[('departments.csv', '0')]","[('departments.csv', '')]"
How many students are enrolled in the Database Systems course?,['1'],['5'],[],['5'],['1'],"[('courses.csv', '1'), ('enrollments.csv', '1')]","[('enrollments.csv', '1')]","[('enrollments.csv', '1')]",[],"[('courses.csv', '1')]"
What are the research areas of Maria Ferrari?,['Human-Computer Interaction'],['Computer Science'],[],['Computer Science'],['Human-Computer Interaction'],"[('teachers.csv', '9'), ('teacher_research_areas.csv', '9')]","[('teachers.csv', '2')]",[],"[('teachers.csv', '2')]","[('teachers.csv', '9'), ('teacher_research_areas.csv', '9')]"
How many research projects are led by Dr. Bianchi?,['6'],['6'],['6'],[],[],"[('teachers.csv', '1'), ('teacher_research_areas.csv', '1')]","[('teacher_research_areas.csv', '8')]",[],"[('teacher_research_areas.csv', '8')]","[('teachers.csv', '1'), ('teacher_research_areas.csv', '1')]"
Which students have a grade higher than 27 in any course?,['Sophie Durand'],"['Computer Science', 'Mathematics']",[],"['Computer Science', 'Mathematics']",['Sophie Durand'],"[('grades.csv', '2'), ('grades.csv', '5'), ('grades.csv', '7'), ('students.csv', '2')]","[('grades.csv', '0'), ('grades.csv', '5')]","[('grades.csv', '5')]","[('grades.csv', '0')]","[('grades.csv', '2'), ('students.csv', '2'), ('grades.csv', '7')]"
Which classroom has the highest capacity?,['Engineering'],['Engineering'],['Engineering'],[],[],"[('classrooms.csv', '4')]","[('classrooms.csv', '4')]","[('classrooms.csv', '4')]",[],[]
What is the day and time of the Software Engineering exam?,[],"['2023-05-30', '13:00']",[],"['13:00', '2023-05-30']",[],"[('courses.csv', '7'), ('exams.csv', '')]","[('exams.csv', '4')]",[],"[('exams.csv', '4')]","[('exams.csv', ''), ('courses.csv', '7')]"
Which courses have 8 credits?,"['Advanced Algorithms', 'Artificial Intelligence']","['Database Systems', 'Advanced Algorithms', 'Software Engineering']",['Advanced Algorithms'],"['Database Systems', 'Software Engineering']",['Artificial Intelligence'],"[('courses.csv', '3'), ('courses.csv', '7')]","[('courses.csv', '1'), ('courses.csv', '3'), ('courses.csv', '6')]","[('courses.csv', '3')]","[('courses.csv', '1'), ('courses.csv', '6')]","[('courses.csv', '7')]"
