k,question_index,num_tokens,truncated
60,0,3193,False
60,1,3196,False
60,2,3162,False
60,3,3101,False
60,4,3299,False
60,5,3084,False
60,6,3223,False
60,7,3258,False
60,8,3161,False
60,9,3172,False
60,10,3268,False
60,11,3184,False
60,12,3291,False
60,13,3241,False
60,14,3152,False
60,15,3184,False
60,16,3314,False
60,17,3185,False
60,18,3146,False
60,19,3214,False
60,20,3329,False
60,21,3119,False
60,22,3246,False
60,23,3235,False
60,24,3232,False
60,25,3266,False
60,26,3032,False
60,27,3252,False
60,28,3071,False
60,29,3260,False
60,30,3296,False
60,31,3057,False
60,32,3294,False
60,33,3084,False
60,34,3087,False
60,35,3219,False
60,36,3229,False
60,37,3228,False
60,38,3243,False
60,39,3136,False
60,40,3228,False
60,41,3145,False
60,42,3204,False
60,43,3201,False
60,44,3239,False
60,45,3194,False
60,46,3282,False
60,47,3129,False
60,48,3033,False
61,0,3241,False
61,1,3235,False
61,2,3234,False
61,3,3133,False
61,4,3331,False
61,5,3131,False
61,6,3271,False
61,7,3310,False
61,8,3199,False
61,9,3210,False
61,10,3300,False
61,11,3232,False
61,12,3343,False
61,13,3280,False
61,14,3225,False
61,15,3222,False
61,16,3362,False
61,17,3233,False
61,18,3185,False
61,19,3252,False
61,20,3361,False
61,21,3167,False
61,22,3298,False
61,23,3273,False
61,24,3280,False
61,25,3314,False
61,26,3080,False
61,27,3300,False
61,28,3108,False
61,29,3308,False
61,30,3334,False
61,31,3094,False
61,32,3332,False
61,33,3131,False
61,34,3126,False
61,35,3267,False
61,36,3267,False
61,37,3266,False
61,38,3290,False
61,39,3188,False
61,40,3276,False
61,41,3193,False
61,42,3252,False
61,43,3238,False
61,44,3286,False
61,45,3255,False
61,46,3329,False
61,47,3190,False
61,48,3081,False
62,0,3289,False
62,1,3283,False
62,2,3266,False
62,3,3183,False
62,4,3368,False
62,5,3180,False
62,6,3319,False
62,7,3349,False
62,8,3247,False
62,9,3248,False
62,10,3338,False
62,11,3290,False
62,12,3395,False
62,13,3328,False
62,14,3272,False
62,15,3260,False
62,16,3400,False
62,17,3272,False
62,18,3224,False
62,19,3300,False
62,20,3393,False
62,21,3215,False
62,22,3330,False
62,23,3312,False
62,24,3319,False
62,25,3362,False
62,26,3128,False
62,27,3338,False
62,28,3155,False
62,29,3356,False
62,30,3372,False
62,31,3156,False
62,32,3370,False
62,33,3163,False
62,34,3165,False
62,35,3319,False
62,36,3306,False
62,37,3304,False
62,38,3327,False
62,39,3254,False
62,40,3328,False
62,41,3241,False
62,42,3290,False
62,43,3275,False
62,44,3323,False
62,45,3292,False
62,46,3368,False
62,47,3239,False
62,48,3129,False
63,0,3355,False
63,1,3322,False
63,2,3339,False
63,3,3222,False
63,4,3415,False
63,5,3212,False
63,6,3367,False
63,7,3388,False
63,8,3295,False
63,9,3296,False
63,10,3376,False
63,11,3327,False
63,12,3433,False
63,13,3376,False
63,14,3310,False
63,15,3308,False
63,16,3438,False
63,17,3320,False
63,18,3272,False
63,19,3338,False
63,20,3425,False
63,21,3263,False
63,22,3382,False
63,23,3360,False
63,24,3358,False
63,25,3410,False
63,26,3176,False
63,27,3411,False
63,28,3228,False
63,29,3395,False
63,30,3404,False
63,31,3203,False
63,32,3402,False
63,33,3195,False
63,34,3237,False
63,35,3371,False
63,36,3345,False
63,37,3352,False
63,38,3365,False
63,39,3306,False
63,40,3380,False
63,41,3289,False
63,42,3328,False
63,43,3313,False
63,44,3355,False
63,45,3344,False
63,46,3407,False
63,47,3271,False
63,48,3177,False
64,0,3403,False
64,1,3383,False
64,2,3399,False
64,3,3261,False
64,4,3447,False
64,5,3284,False
64,6,3406,False
64,7,3420,False
64,8,3343,False
64,9,3344,False
64,10,3423,False
64,11,3388,False
