question_number,question,answer_exact,why_exact,empty_answer,retrieval_recall,first_evidence_rank,retrieval_seconds,generation_seconds,total_seconds,prompt_tokens,output_tokens,gpu_utilization,peak_gpu_memory_mib
1,Which is the email of the student Giulia Rossi?,True,True,False,1.0,1,1.199403257924132,584.7245348560391,585.9241674790392,1362,26,0.425,54001.0
2,Which is the name of the department where the teacher Laura Bianchi teaches?,False,False,True,0.5,1,0.12483682902529836,2.16546540602576,2.2904570979299024,1315,11,58.4,54005.0
3,How many credits has the course Software Engineering?,True,True,False,1.0,4,0.014052830985747278,1.7956367769511417,1.809805181925185,1312,20,87.375,54005.0
4,What is the name of building in which there is the class with room number 401?,True,True,False,1.0,4,0.0080240189563483,1.8024968690006062,1.8106306520057842,1249,22,95.25,54005.0
5,In which semester is done the Cybersecurity course?,True,True,False,1.0,2,0.007775395060889423,1.8352834288962185,1.8431541769532487,1324,20,89.0,54005.0
6,In which classroom (room number) is the Database Systems exam?,False,False,True,0.3333333333333333,8,0.007862296071834862,1.4963258759817109,1.5042852680198848,1272,11,86.85714285714286,54005.0
7,In which research area is the 'User Experience Design in Web Apps' thesis?,True,True,False,1.0,1,0.007705120020546019,1.9229572660988197,1.9307593810372055,1333,23,91.22222222222223,54007.0
8,"Which instructor (name, surname) teaches Machine Learning course?",False,False,True,1.0,2,0.006850837962701917,1.5011741350172088,1.5081279471050948,1263,11,90.42857142857143,54007.0
9,Which is the research area of the teacher Carlo Rossi?,False,False,True,0.5,1,0.007747723022475839,1.5483129969798028,1.5561579260975122,1324,11,86.85714285714286,54007.0
10,How many research project follows the teacher Giulia Colombo?,True,False,False,1.0,1,0.006674473057501018,1.8353916320484132,1.842149620060809,1240,22,86.66666666666667,54007.0
11,"When is the Machine Learning exam (date,time)?",False,False,False,1.0,4,0.006730256020091474,2.1233865619869903,2.130196087062359,1352,30,88.4,54007.0
12,In which courses (name of courses) Giulia Rossi is enrolled?,False,False,True,0.2,1,0.006963054998777807,1.6171542870579287,1.624202459002845,1365,11,87.25,54007.0
13,What is the grade of Giulia Rossi for the Machine Learning course?,False,False,True,0.6666666666666666,2,0.00695578393060714,1.539143207948655,1.5461788719985634,1285,11,87.42857142857143,54009.0
14,"Who is the teacher (name,surname) following Sophie Durand in her thesis?",False,False,True,0.6666666666666666,2,0.007280483026988804,1.6507459660060704,1.6581197979394346,1341,11,84.75,54009.0
15,What are all the courses (name of courses) offered by the Computer Science department?,False,False,False,0.7777777777777778,1,0.007082444964908063,3.4193263560300693,3.426483283052221,1294,74,84.3125,54009.0
16,What is the name of the department in which Antonio Gallo teaches?,False,False,True,0.5,1,0.014459742000326514,1.6252158299321309,1.6397935500135645,1338,11,86.625,54009.0
17,What is the grade of Elena Gonzales for the Human-Computer Interaction exam?,True,True,False,1.0,2,0.007988956989720464,2.0612001250265166,2.069290683954023,1278,28,89.7,54009.0
18,Which faculty does the Electronics department belong to?,True,True,False,1.0,1,0.006560289999470115,1.7443078440846875,1.7509470930090174,1191,20,92.875,54009.0
19,What is the name of the building in which will be the Embedded Systems exam?,False,False,False,0.3333333333333333,9,0.0071538209449499846,1.960237334948033,1.9674901739927009,1237,27,90.44444444444444,54009.0
20,What is the title of the thesis followed by Alessandro Moretti?,False,False,True,0.5,1,0.006771789048798382,1.6263415709836408,1.6332090039504692,1378,11,89.0,54009.0
21,"Which students (name,surname) have an enrollment date before 2022?",False,False,False,0.0,,0.007223377004265785,2.746974293026142,2.754282027017325,1319,53,92.15384615384616,54009.0
22,What is the faculty of the Chemistry department?,True,True,False,1.0,1,0.006963205989450216,1.711862885975279,1.718945050961338,1200,20,87.875,54009.0
23,"Which are the students (name,surname) enrolled in the Database Systems course?",False,False,False,0.3333333333333333,2,0.007348514045588672,2.749668237986043,2.757114068022929,1299,52,90.23076923076923,54009.0
24,What are the research areas of Maria Ferrari?,True,False,False,1.0,1,0.0066832759184762836,1.964984282036312,1.9717705519869924,1305,25,93.0,54009.0
25,How many research projects are led by Laura Bianchi?,True,False,False,1.0,1,0.006671397015452385,1.8096958179958165,1.8164501800201833,1278,22,87.625,54009.0
26,"Which student (name,surname) had a grade equal to 28 in Human-Computer Interaction?",False,False,True,0.3333333333333333,2,0.007268704008311033,1.5696870819665492,1.5770553249167278,1329,11,94.42857142857143,54009.0
27,Which are the classrooms (room number) in the Engineering building?,True,True,False,1.0,1,0.0070369759341701865,2.0123857379658148,2.019517987035215,1214,30,86.55555555555556,54009.0
28,What is the day and time of the Software Engineering exam?,False,False,False,0.5,2,0.007827141904272139,2.10959518305026,2.1175212840316817,1304,31,94.1,54009.0
29,Which courses (name of courses) have 8 credits?,True,True,False,1.0,7,0.006992239039391279,2.1676392289809883,2.1747272819047794,1328,31,85.7,54009.0
30,What is the title of the thesis of Sophie Durand?,False,False,True,0.5,1,0.0068646479630842805,1.6307495499495417,1.637715500080958,1381,11,95.75,54009.0
31,"Which are the students (name, surname) enrolled in Machine Learning or in Advanced Algorithm courses?",False,False,False,0.2857142857142857,2,0.0071346129989251494,2.5940697379410267,2.601301176007837,1319,46,92.33333333333333,54011.0
32,Which courses (name of the courses) have 6 credits?,False,False,False,0.875,1,0.006912819924764335,3.645190102979541,3.6521985470317304,1318,83,86.29411764705883,54011.0
33,"Which students (name, surname) enrolled in 2020?",True,True,False,1.0,1,0.00677008496131748,1.9254394440213218,1.9323063029441983,1340,22,85.33333333333333,54011.0
34,Which classrooms (room number) are located in the Main building?,True,True,False,1.0,1,0.0075662609888240695,2.0008661310421303,2.008528386009857,1250,30,88.0,54011.0
35,Which departments (departments name) are in the Science faculty?,True,True,False,1.0,1,0.0072312080301344395,2.6531180929159746,2.6604484100826085,1194,53,86.91666666666667,54011.0
36,Which thesis (title) have the status completed?,False,False,False,0.6666666666666666,1,0.006599368993192911,2.1722605790710077,2.1789453360252082,1275,34,88.4,54011.0
37,What are the names of the courses taught by Laura Bianchi?,False,False,True,0.5,1,0.007380913011729717,1.6096404340351,1.6171171700116247,1339,11,86.875,54011.0
38,Which courses (name of courses) are taught in the Fall semester?,True,True,False,1.0,2,0.006925689056515694,3.284686997998506,3.291701360954903,1330,62,78.66666666666667,54011.0
39,Which courses (name of courses) are taught in the Spring semester?,True,True,False,1.0,1,0.006984426989220083,3.0139806380029768,3.0210631230147555,1330,63,86.5,54011.0
40,"Which teachers (name, surname) are part of the Electronics department?",False,False,True,0.3333333333333333,1,0.006930897012352943,1.4857968359719962,1.4928139119874686,1222,11,96.0,54011.0
