K,Category,Precision,Recall,F1,Accuracy
10,Answer,0.5152,0.3505,0.4172,0.2449
10,Explanation,0.2500,0.1546,0.1911,0.1020
11,Answer,0.5000,0.3505,0.4121,0.2449
11,Explanation,0.1250,0.0825,0.0994,0.0612
12,Answer,0.5147,0.3608,0.4242,0.2245
12,Explanation,0.1475,0.0928,0.1139,0.0816
10,Answer,0.5152,0.3505,0.4172,0.2449
10,Explanation,0.2500,0.1546,0.1911,0.1020
11,Answer,0.5000,0.3505,0.4121,0.2449
11,Explanation,0.1250,0.0825,0.0994,0.0612
12,Answer,0.5147,0.3608,0.4242,0.2245
12,Explanation,0.1475,0.0928,0.1139,0.0816
10,Answer,0.5152,0.3505,0.4172,0.2449
10,Explanation,0.2500,0.1546,0.1911,0.1020
11,Answer,0.5000,0.3505,0.4121,0.2449
11,Explanation,0.1250,0.0825,0.0994,0.0612
12,Answer,0.5147,0.3608,0.4242,0.2245
12,Explanation,0.1475,0.0928,0.1139,0.0816
13,Answer,0.4754,0.2990,0.3671,0.2449
13,Explanation,0.1852,0.1031,0.1325,0.0612
14,Answer,0.5161,0.3299,0.4025,0.2245
14,Explanation,0.1481,0.0825,0.1060,0.0408
15,Answer,0.5161,0.3299,0.4025,0.2245
15,Explanation,0.1667,0.0928,0.1192,0.0612
16,Answer,0.5238,0.3402,0.4125,0.2245
16,Explanation,0.1724,0.1031,0.1290,0.0408
17,Answer,0.5224,0.3608,0.4268,0.2245
17,Explanation,0.1639,0.1031,0.1266,0.0408
18,Answer,0.5538,0.3711,0.4444,0.2449
18,Explanation,0.1754,0.1031,0.1299,0.0816
19,Answer,0.4921,0.3196,0.3875,0.1837
19,Explanation,0.1667,0.0928,0.1192,0.0204
20,Answer,0.5000,0.3505,0.4121,0.2041
20,Explanation,0.1754,0.1031,0.1299,0.0612
21,Answer,0.5077,0.3402,0.4074,0.2041
21,Explanation,0.1964,0.1134,0.1438,0.0612
22,Answer,0.4262,0.2680,0.3291,0.1633
22,Explanation,0.1698,0.0928,0.1200,0.0408
23,Answer,0.4521,0.3402,0.3882,0.1837
23,Explanation,0.2069,0.1237,0.1548,0.0612
24,Answer,0.4394,0.2990,0.3558,0.2245
24,Explanation,0.1379,0.0825,0.1032,0.0612
25,Answer,0.4783,0.3402,0.3976,0.1837
25,Explanation,0.1000,0.0619,0.0764,0.0204
26,Answer,0.4571,0.3299,0.3832,0.2041
26,Explanation,0.1034,0.0619,0.0774,0.0408
27,Answer,0.3587,0.3402,0.3492,0.2245
27,Explanation,0.1071,0.0619,0.0784,0.0408
28,Answer,0.1915,0.2784,0.2269,0.1224
28,Explanation,0.1591,0.0722,0.0993,0.0612
29,Answer,0.0990,0.2062,0.1338,0.1224
29,Explanation,0.1389,0.0515,0.0752,0.0408
30,Answer,0.1154,0.2165,0.1505,0.1020
30,Explanation,0.1667,0.0515,0.0787,0.0408
31,Answer,0.0847,0.1546,0.1095,0.0816
31,Explanation,0.2222,0.0412,0.0696,0.0000
