course_id,course_name,department,credits,instructor,semester
101,Machine Learning,Computer Science,6,Dr. Rossi,Fall
102,Database Systems,Computer Science,6,Dr. Bianchi,Spring
103,Embedded Systems,Electronics,6,Dr. Verdi,Fall
104,Advanced Algorithms,Computer Science,8,Dr. Neri,Spring
105,Digital Signal Processing,Electronics,6,Dr. Gallo,Fall
106,Software Engineering,Computer Science,6,Dr. Colombo,Spring
107,Data Mining,Computer Science,6,Dr. Conti,Fall
108,Artificial Intelligence,Computer Science,8,Dr. Moretti,Spring
109,Cybersecurity,Computer Science,6,Dr. Esposito,Fall
110,Human-Computer Interaction,Computer Science,6,Dr. Ferrari,Spring
