K,Category,Precision,Recall,F1,Accuracy
10,Answer,0.0000,0.0000,0.0000,0.0000
10,Explanation,0.0000,0.0000,0.0000,0.0000
11,Answer,0.0667,0.0103,0.0179,0.0204
11,Explanation,0.0000,0.0000,0.0000,0.0000
12,Answer,0.0625,0.0103,0.0177,0.0204
12,Explanation,0.0323,0.0052,0.0089,0.0000
13,Answer,0.0323,0.0103,0.0156,0.0204
13,Explanation,0.0167,0.0052,0.0079,0.0000
14,Answer,0.0357,0.0103,0.0160,0.0204
14,Explanation,0.0200,0.0052,0.0082,0.0000
15,Answer,0.0312,0.0103,0.0155,0.0204
15,Explanation,0.0000,0.0000,0.0000,0.0000
16,Answer,0.0270,0.0103,0.0149,0.0204
16,Explanation,0.0000,0.0000,0.0000,0.0000
17,Answer,0.0000,0.0000,0.0000,0.0000
17,Explanation,0.0000,0.0000,0.0000,0.0000
18,Answer,0.0000,0.0000,0.0000,0.0000
18,Explanation,0.0000,0.0000,0.0000,0.0000
19,Answer,0.0000,0.0000,0.0000,0.0000
19,Explanation,0.0000,0.0000,0.0000,0.0000
20,Answer,0.0000,0.0000,0.0000,0.0000
20,Explanation,0.0000,0.0000,0.0000,0.0000
21,Answer,0.0000,0.0000,0.0000,0.0000
21,Explanation,0.0000,0.0000,0.0000,0.0000
22,Answer,0.0000,0.0000,0.0000,0.0000
22,Explanation,0.0000,0.0000,0.0000,0.0000
23,Answer,0.0000,0.0000,0.0000,0.0000
23,Explanation,0.0000,0.0000,0.0000,0.0000
24,Answer,0.0000,0.0000,0.0000,0.0000
24,Explanation,0.0000,0.0000,0.0000,0.0000
25,Answer,0.0000,0.0000,0.0000,0.0000
25,Explanation,0.0000,0.0000,0.0000,0.0000
26,Answer,0.0000,0.0000,0.0000,0.0000
26,Explanation,0.0000,0.0000,0.0000,0.0000
27,Answer,0.0000,0.0000,0.0000,0.0000
27,Explanation,0.0000,0.0000,0.0000,0.0000
28,Answer,0.0000,0.0000,0.0000,0.0000
28,Explanation,0.0000,0.0000,0.0000,0.0000
29,Answer,0.0000,0.0000,0.0000,0.0000
29,Explanation,0.0000,0.0000,0.0000,0.0000
30,Answer,0.0000,0.0000,0.0000,0.0000
30,Explanation,0.0000,0.0000,0.0000,0.0000
31,Answer,0.0000,0.0000,0.0000,0.0000
31,Explanation,0.0000,0.0000,0.0000,0.0000
32,Answer,0.0000,0.0000,0.0000,0.0000
32,Explanation,0.0000,0.0000,0.0000,0.0000
33,Answer,0.0000,0.0000,0.0000,0.0000
33,Explanation,0.0000,0.0000,0.0000,0.0000
34,Answer,0.0000,0.0000,0.0000,0.0000
34,Explanation,0.0000,0.0000,0.0000,0.0000
35,Answer,0.0000,0.0000,0.0000,0.0000
35,Explanation,0.0000,0.0000,0.0000,0.0000
36,Answer,0.0000,0.0000,0.0000,0.0000
36,Explanation,0.0000,0.0000,0.0000,0.0000
37,Answer,0.0000,0.0000,0.0000,0.0000
37,Explanation,0.0000,0.0000,0.0000,0.0000
38,Answer,0.0000,0.0000,0.0000,0.0000
38,Explanation,0.0000,0.0000,0.0000,0.0000
39,Answer,0.0000,0.0000,0.0000,0.0000
39,Explanation,0.0000,0.0000,0.0000,0.0000
