question,type,true_answer,pred_answer,correct_answer,false_positive_answer,false_negative_answer,true_explanation,pred_explanation,correct_explanation,false_positive_explanation,false_negative_explanation
Which is the email of Giulia Rossi?,single table single row,['giulia.rossi@student.edu'],[],[],[],['giulia.rossi@student.edu'],"[('students.csv', '0')]",[],[],[],"[('students.csv', '0')]"
Which is the department of the teacher Laura Bianchi?,two tables single join,['Computer Science'],['Mathematics'],[],['Mathematics'],['Computer Science'],"[('teachers.csv', '1')]","[('https://www.ugent.be/en/faculties/faculty-of-science/department-of-mathematics.html', 'None')]",[],"[('https://www.ugent.be/en/faculties/faculty-of-science/department-of-mathematics.html', 'None')]","[('teachers.csv', '1')]"
How many credits has the course Software Engineering?,single table single row,['6'],['3'],[],['3'],['6'],"[('courses.csv', '5')]","[('courses.json', '2')]",[],"[('courses.json', '2')]","[('courses.csv', '5')]"
In which building is the class 401?,single table single row,['Electronics'],['Main Building'],[],['Main Building'],['Electronics'],"[('classrooms.csv', '5')]","[('schedule.txt', '3')]",[],"[('schedule.txt', '3')]","[('classrooms.csv', '5')]"
In which semester is done the Cybersecurity course?,single table single row,['Fall'],['Second semester'],[],['Second semester'],['Fall'],"[('courses.csv', '8')]","[('Course Catalog', '3')]",[],"[('Course Catalog', '3')]","[('courses.csv', '8')]"
In which classroom is the Database Systems exam?,three tables two join,['Main'],['CSCI 3300'],[],['CSCI 3300'],['Main'],"[('courses.csv', '1'), ('exams.csv', '1'), ('classrooms.csv', '1')]","[('course_schedule.txt', '3')]",[],"[('course_schedule.txt', '3')]","[('courses.csv', '1'), ('exams.csv', '1'), ('classrooms.csv', '1')]"
"In which area is the ""User Experience Design in Web Apps"" thesis?",single table single row,['Human-Computer Interaction'],['Computer Science'],[],['Computer Science'],['Human-Computer Interaction'],"[('thesis.csv', '4')]","[('https://www.researchgate.net/publication/343444444_User_Experience_Design_in_Web_Apps', 'None')]",[],"[('https://www.researchgate.net/publication/343444444_User_Experience_Design_in_Web_Apps', 'None')]","[('thesis.csv', '4')]"
Which instructor teaches Machine Learning course?,single table single row,['Dr. Rossi'],[],[],[],['Dr. Rossi'],"[('courses.csv', '0')]",[],[],[],"[('courses.csv', '0')]"
Which is the research area of the teacher Carlo Rossi?,two tables single join,['Artificial Intelligence'],['Computer Networks'],[],['Computer Networks'],['Artificial Intelligence'],"[('teachers.csv', '0'), ('teacher_research_areas.csv', '0')]","[('https://www.di.uniba.it/en/people/carlos-rossi', 'None')]",[],"[('https://www.di.uniba.it/en/people/carlos-rossi', 'None')]","[('teacher_research_areas.csv', '0'), ('teachers.csv', '0')]"
How many research project follows the teacher Giulia Colombo?,two tables single join,['5'],[14],[],[14],['5'],"[('teachers.csv', '5'), ('teacher_research_areas.csv', '5')]","[('researchers.json', '2')]",[],"[('researchers.json', '2')]","[('teacher_research_areas.csv', '5'), ('teachers.csv', '5')]"
When is the machine learning exam?,two tables single join,['2023-01-10'],[],[],[],['2023-01-10'],"[('courses.csv', '0'), ('exams.csv', '0')]",[],[],[],"[('courses.csv', '0'), ('exams.csv', '0')]"
In which courses Giulia Rossi is enrolled?,two tables single join,"['Machine Learning', 'Advanced Algorithms']",[],[],[],"['Advanced Algorithms', 'Machine Learning']","[('students.csv', '0'), ('enrollments.csv', '0'), ('enrollments.csv', '3'), ('courses.csv', '0'), ('courses.csv', '3')]",[],[],[],"[('students.csv', '0'), ('enrollments.csv', '0'), ('enrollments.csv', '3'), ('courses.csv', '0'), ('courses.csv', '3')]"
What is the grade of Giulia Rossi for the Machine Learning course?,three tables two join,['28'],[],[],[],['28'],"[('students.csv', '0'), ('courses.csv', '0'), ('grades.csv', '0')]",[],[],[],"[('students.csv', '0'), ('courses.csv', '0'), ('grades.csv', '0')]"
Who is the teacher following Sophie Durand in her thesis?,three tables two join,['Luca Esposito'],['Dr. Jean-Pierre Durand'],[],['Dr. Jean-Pierre Durand'],['Luca Esposito'],"[('students.csv', '2'), ('thesis.csv', '2'), ('teachers.csv', '8')]","[('thesis.pdf', '23')]",[],"[('thesis.pdf', '23')]","[('teachers.csv', '8'), ('students.csv', '2'), ('thesis.csv', '2')]"
What are all the courses offered by the Computer Science department?,single table multiple rows,"['Database Systems', 'Advanced Algorithms', 'Machine Learning', 'Human-Computer Interaction', 'Software Engineering', 'Cybersecurity', 'Data Mining', 'Artificial Intelligence']",[],[],[],"['Human-Computer Interaction', 'Data Mining', 'Cybersecurity', 'Advanced Algorithms', 'Machine Learning', 'Artificial Intelligence', 'Database Systems', 'Software Engineering']","[('courses.csv', '1'), ('courses.csv', '3'), ('courses.csv', '0'), ('courses.csv', '9'), ('courses.csv', '5'), ('courses.csv', '8'), ('courses.csv', '6'), ('courses.csv', '7')]",[],[],[],"[('courses.csv', '5'), ('courses.csv', '9'), ('courses.csv', '6'), ('courses.csv', '1'), ('courses.csv', '0'), ('courses.csv', '7'), ('courses.csv', '8'), ('courses.csv', '3')]"
What is the department name in which Antonio Gallo teaches?,two tables single join,['Electronics'],['Computer Science'],[],['Computer Science'],['Electronics'],"[('teachers.csv', '4'), ('departments.csv', '1')]","[('departments.json', '2')]",[],"[('departments.json', '2')]","[('teachers.csv', '4'), ('departments.csv', '1')]"
What is the grade of Elena Gonzales for the Human-Computer Interaction exam?,three tables two join,['26'],[],[],[],['26'],"[('students.csv', '4'), ('courses.csv', '9'), ('grades.csv', '6')]",[],[],[],"[('grades.csv', '6'), ('students.csv', '4'), ('courses.csv', '9')]"
Which faculty does the Electronics department belong to?,single table single row,['Engineering'],['Engineering'],['Engineering'],[],[],"[('departments.csv', '1')]","[('Faculty Structure', '3')]",[],"[('Faculty Structure', '3')]","[('departments.csv', '1')]"
In which building will be the Embedded Systems exam?,three tables two join,['Science'],['Building 3'],[],['Building 3'],['Science'],"[('courses.csv', '2'), ('exams.csv', '2'), ('classrooms.csv', '2')]","[('embedded_systems_schedule.txt', '2')]",[],"[('embedded_systems_schedule.txt', '2')]","[('exams.csv', '2'), ('classrooms.csv', '2'), ('courses.csv', '2')]"
What is the title of the thesis followed by Alessandro Moretti?,two tables single join,[],['A Study on the Impact of Social Media on the Perception of Reality'],[],['A Study on the Impact of Social Media on the Perception of Reality'],[],"[('students.csv', 'None')]","[('https://www.researchgate.net/profile/Alessandro_Moretti', 'Under his publications')]",[],"[('https://www.researchgate.net/profile/Alessandro_Moretti', 'Under his publications')]","[('students.csv', 'None')]"
Which students have an enrollment date before 2022?,single table multiple rows,['2'],[],[],[],['2'],"[('students.csv', '2'), ('students.csv', '3')]",[],[],[],"[('students.csv', '3'), ('students.csv', '2')]"
What is the location of the Humanities Library?,single table single row,[],['The Humanities Library is located in the basement of the Main Library.'],[],['The Humanities Library is located in the basement of the Main Library.'],[],"[('departments.csv', 'None')]","[('https://www.library.cornell.edu/humanities/about/location', 'None')]",[],"[('https://www.library.cornell.edu/humanities/about/location', 'None')]","[('departments.csv', 'None')]"
How many students are enrolled in the Database Systems course?,two tables single join,['1'],[35],[],[35],['1'],"[('courses.csv', '1'), ('enrollments.csv', '1')]","[('enrollments.csv', '2')]",[],"[('enrollments.csv', '2')]","[('courses.csv', '1'), ('enrollments.csv', '1')]"
What are the research areas of Maria Ferrari?,two tables single join,['Human-Computer Interaction'],"['Astrophysics', 'Cosmology', 'Galaxy Evolution', 'Star Formation']",[],"['Cosmology', 'Galaxy Evolution', 'Star Formation', 'Astrophysics']",['Human-Computer Interaction'],"[('teachers.csv', '9'), ('teacher_research_areas.csv', '9')]","[('https://www.astro.princeton.edu/~mferrari/', ""The research areas are listed on Maria Ferrari's personal webpage."")]",[],"[('https://www.astro.princeton.edu/~mferrari/', ""The research areas are listed on Maria Ferrari's personal webpage."")]","[('teachers.csv', '9'), ('teacher_research_areas.csv', '9')]"
How many research projects are led by Laura Bianchi?,single table single row,['6'],[2],[],[2],['6'],"[('teachers.csv', '1'), ('teacher_research_areas.csv', '1')]","[('https://www.researchgate.net/profile/Laura_Bianchi2', 'About')]",[],"[('https://www.researchgate.net/profile/Laura_Bianchi2', 'About')]","[('teacher_research_areas.csv', '1'), ('teachers.csv', '1')]"
Which students have a grade higher than 27 in any course?,two tables single join,['Sophie Durand'],[],[],[],['Sophie Durand'],"[('grades.csv', '2'), ('grades.csv', '5'), ('grades.csv', '7'), ('students.csv', '2')]",[],[],[],"[('grades.csv', '7'), ('grades.csv', '2'), ('grades.csv', '5'), ('students.csv', '2')]"
Which classroom has the highest capacity?,single table single row,['Engineering'],['Classroom 3'],[],['Classroom 3'],['Engineering'],"[('classrooms.csv', '4')]","[('classrooms.txt', '3')]",[],"[('classrooms.txt', '3')]","[('classrooms.csv', '4')]"
What is the day and time of the Software Engineering exam?,two tables single join,[],[],[],[],[],"[('courses.csv', '7'), ('exams.csv', 'None')]",[],[],[],"[('courses.csv', '7'), ('exams.csv', 'None')]"
Which courses have 8 credits?,single table multiple rows,"['Advanced Algorithms', 'Artificial Intelligence']",[],[],[],"['Artificial Intelligence', 'Advanced Algorithms']","[('courses.csv', '3'), ('courses.csv', '7')]",[],[],[],"[('courses.csv', '3'), ('courses.csv', '7')]"
