question,type,true_answer,pred_answer,correct_answer,false_positive_answer,false_negative_answer,true_explanation,pred_explanation,correct_explanation,false_positive_explanation,false_negative_explanation
Which is the email of Giulia Rossi?,single table single row,"[{'answer': ['giulia.rossi@student.edu'], 'why': [{'students': '0'}]}]","[{'answer': ['giulia.rossi@student.edu'], 'why': [{'students': '0'}]}]",['giulia.rossi@student.edu'],[],[],"[('students', '0')]","[('students', '0')]","[('students', '0')]",[],[]
Which is the department of the teacher Laura Bianchi?,two tables single join,"[{'answer': ['Computer Science'], 'why': [{'teachers': '1', 'department': '0'}]}]","[{'answer': ['Computer Science'], 'why': [{'teachers': '1', 'departments': '0'}]}]",['Computer Science'],[],[],"[('teachers', '1'), ('department', '0')]","[('teachers', '1'), ('departments', '0')]","[('teachers', '1')]","[('departments', '0')]","[('department', '0')]"
How many credits has the course Software Engineering?,single table single row,"[{'answer': ['6'], 'why': [{'courses': '5'}]}]","[{'answer': ['6'], 'why': [{'courses': '5'}]}]",['6'],[],[],"[('courses', '5')]","[('courses', '5')]","[('courses', '5')]",[],[]
In which building is the class 401?,single table single row,"[{'answer': ['Electronics'], 'why': [{'classrooms': '5'}]}]","[{'answer': ['Electronics'], 'why': [{'classrooms': '5'}]}]",['Electronics'],[],[],"[('classrooms', '5')]","[('classrooms', '5')]","[('classrooms', '5')]",[],[]
In which semester is done the Cybersecurity course?,single table single row,"[{'answer': ['Fall'], 'why': [{'courses': '8'}]}]","[{'answer': ['Fall'], 'why': [{'courses': '8'}]}]",['Fall'],[],[],"[('courses', '8')]","[('courses', '8')]","[('courses', '8')]",[],[]
In which classroom is the Database Systems exam?,three tables two join,"[{'answer': ['Main'], 'why': [{'courses': '1', 'exams': '1', 'classroom': '1'}]}]","[{'answer': ['Main 102'], 'why': [{'courses': '1', 'exams': '1'}]}]",[],['Main 102'],['Main'],"[('courses', '1'), ('exams', '1'), ('classroom', '1')]","[('courses', '1'), ('exams', '1')]","[('exams', '1'), ('courses', '1')]",[],"[('classroom', '1')]"
In which area is the 'User Experience Design in Web Apps' thesis?,single table single row,"[{'answer': ['Human-Computer Interaction'], 'why': [{'thesis': '4'}]}]","[{'answer': ['Human-Computer Interaction'], 'why': [{'thesis': '4'}]}]",['Human-Computer Interaction'],[],[],"[('thesis', '4')]","[('thesis', '4')]","[('thesis', '4')]",[],[]
Which instructor teaches Machine Learning course?,single table single row,"[{'answer': ['Carlo Rossi'], 'why': [{'courses': '0'}]}]","[{'answer': ['Carlo Rossi'], 'why': [{'courses': '0'}]}]",['Carlo Rossi'],[],[],"[('courses', '0')]","[('courses', '0')]","[('courses', '0')]",[],[]
Which is the research area of the teacher Carlo Rossi?,two tables single join,"[{'answer': ['Artificial Intelligence'], 'why': [{'teachers': '0', 'teacher_research_areas': '0'}]}]","[{'answer': ['Artificial Intelligence'], 'why': [{'teacher_research_areas': '0', 'teachers': '0'}]}]",['Artificial Intelligence'],[],[],"[('teachers', '0'), ('teacher_research_areas', '0')]","[('teacher_research_areas', '0'), ('teachers', '0')]","[('teachers', '0'), ('teacher_research_areas', '0')]",[],[]
How many research project follows the teacher Giulia Colombo?,two tables single join,"[{'answer': ['5'], 'why': [{'teacher': '5', 'teacher_research_areas': '5'}]}]","[{'answer': ['5'], 'why': [{'teacher_research_areas': '5', 'teachers': '5'}]}]",['5'],[],[],"[('teacher', '5'), ('teacher_research_areas', '5')]","[('teacher_research_areas', '5'), ('teachers', '5')]","[('teacher_research_areas', '5')]","[('teachers', '5')]","[('teacher', '5')]"
When is the machine learning exam?,two tables single join,"[{'answer': ['2023-01-10,09:00'], 'why': [{'exams': '0'}]}]","[{'answer': ['2023-01-10,09:00'], 'why': [{'courses': '0', 'exams': '0'}]}]","['2023-01-10,09:00']",[],[],"[('exams', '0')]","[('courses', '0'), ('exams', '0')]","[('exams', '0')]","[('courses', '0')]",[]
In which courses Giulia Rossi is enrolled?,two tables single join,"[{'answer': ['Machine Learning', 'Advanced Algorithms'], 'why': [{'students': '0', 'enrollments': '0, 3', 'courses': '0, 3'}]}]","[{'answer': ['Advanced Algorithms'], 'why': [{'students': '0', 'enrollments': '3', 'courses': '3'}]}]",['Advanced Algorithms'],[],['Machine Learning'],"[('students', '0'), ('enrollments', '0, 3'), ('courses', '0, 3')]","[('students', '0'), ('enrollments', '3'), ('courses', '3')]","[('students', '0')]","[('enrollments', '3'), ('courses', '3')]","[('enrollments', '0, 3'), ('courses', '0, 3')]"
What is the grade of Giulia Rossi for the Machine Learning course?,three tables two join,"[{'answer': ['28'], 'why': [{'courses': '0', 'students': '0', 'grades': '0'}]}]","[{'answer': ['28'], 'why': [{'grades': '0', 'students': '0'}]}]",['28'],[],[],"[('courses', '0'), ('students', '0'), ('grades', '0')]","[('grades', '0'), ('students', '0')]","[('grades', '0'), ('students', '0')]",[],"[('courses', '0')]"
Who is the teacher following Sophie Durand in her thesis?,three tables two join,"[{'answer': ['Luca Esposito'], 'why': [{'students': '2', 'thesis': '2', 'teachers': '8'}]}]","[{'answer': ['Maria Ferrari'], 'why': [{'students': '2', 'thesis': '4'}]}]",[],['Maria Ferrari'],['Luca Esposito'],"[('students', '2'), ('thesis', '2'), ('teachers', '8')]","[('students', '2'), ('thesis', '4')]","[('students', '2')]","[('thesis', '4')]","[('thesis', '2'), ('teachers', '8')]"
What are all the courses offered by the Computer Science department?,single table multiple rows,"[{'answer': ['Database Systems', 'Advanced Algorithms', 'Machine Learning', 'Human-Computer Interaction', 'Software Engineering', 'Cybersecurity', 'Data Mining', 'Artificial Intelligence'], 'why': [{'courses': '1, 3, 0, 9, 5, 8, 6, 7'}]}]","[{'answer': ['Software Engineering'], 'why': [{'courses': '5'}]}, {'answer': ['Human-Computer Interaction'], 'why': [{'courses': '9'}]}, {'answer': ['Database Systems'], 'why': [{'courses': '1'}]}, {'answer': ['Cybersecurity'], 'why': [{'courses': '8'}]}, {'answer': ['Advanced Algorithms'], 'why': [{'courses': '3'}]}, {'answer': ['Machine Learning'], 'why': [{'courses': '0'}]}, {'answer': ['Data Mining'], 'why': [{'courses': '6'}]}, {'answer': ['Artificial Intelligence'], 'why': [{'courses': '7'}]}]",['Software Engineering'],[],"['Cybersecurity', 'Human-Computer Interaction', 'Data Mining', 'Advanced Algorithms', 'Machine Learning', 'Database Systems', 'Artificial Intelligence']","[('courses', '1, 3, 0, 9, 5, 8, 6, 7')]","[('courses', '5')]",[],"[('courses', '5')]","[('courses', '1, 3, 0, 9, 5, 8, 6, 7')]"
What is the department name in which Antonio Gallo teaches?,two tables single join,"[{'answer': ['Electronics'], 'why': [{'teachers': '4', 'departments': '1'}]}]","[{'answer': ['Electronics'], 'why': [{'teachers': '4', 'departments': '1'}]}]",['Electronics'],[],[],"[('teachers', '4'), ('departments', '1')]","[('teachers', '4'), ('departments', '1')]","[('departments', '1'), ('teachers', '4')]",[],[]
What is the grade of Elena Gonzales for the Human-Computer Interaction exam?,three tables two join,"[{'answer': ['26'], 'why': [{'students': '4', 'courses': '9', 'grades': '6'}]}]","[{'answer': ['26'], 'why': [{'grades': '6', 'students': '4'}]}]",['26'],[],[],"[('students', '4'), ('courses', '9'), ('grades', '6')]","[('grades', '6'), ('students', '4')]","[('students', '4'), ('grades', '6')]",[],"[('courses', '9')]"
Which faculty does the Electronics department belong to?,single table single row,"[{'answer': ['Engineering'], 'why': [{'departments': '1'}]}]","[{'answer': ['Engineering'], 'why': [{'departments': '1'}]}]",['Engineering'],[],[],"[('departments', '1')]","[('departments', '1')]","[('departments', '1')]",[],[]
In which building will be the Embedded Systems exam?,three tables two join,"[{'answer': ['Science'], 'why': [{'courses': '2', 'exams': '2', 'classrooms': '3'}]}]","[{'answer': ['Electronics'], 'why': [{'classrooms': '5', 'exams': '2'}]}]",[],['Electronics'],['Science'],"[('courses', '2'), ('exams', '2'), ('classrooms', '3')]","[('classrooms', '5'), ('exams', '2')]","[('exams', '2')]","[('classrooms', '5')]","[('courses', '2'), ('classrooms', '3')]"
What is the title of the thesis followed by Alessandro Moretti?,two tables single join,"[{'answer': [], 'why': [{}]}]","[{'answer': ['No thesis title found for Alessandro Moretti'], 'why': [{'teachers': '7'}]}]",[],['No thesis title found for Alessandro Moretti'],[],[],"[('teachers', '7')]",[],"[('teachers', '7')]",[]
Which students have an enrollment date before 2022?,single table multiple rows,"[{'answer': ['Lucas Schmidt', 'Sophie Durand'], 'why': [{'students': '2, 3'}]}]","[{'answer': ['Lucas Schmidt', 'Sophie Durand'], 'why': [{'enrollments': '8', 'students': '3'}, {'enrollments': '7', 'students': '4'}]}]","['Lucas Schmidt', 'Sophie Durand']",[],[],"[('students', '2, 3')]","[('enrollments', '8'), ('students', '3'), ('enrollments', '7'), ('students', '4')]",[],"[('students', '4'), ('enrollments', '8'), ('enrollments', '7'), ('students', '3')]","[('students', '2, 3')]"
What is the location of the Humanities Library?,single table single row,"[{'answer': [], 'why': [{}]}]","[{'answer': ['The location of the Humanities Library is not provided in the given context.'], 'why': [{'departments': '1'}]}]",[],['The location of the Humanities Library is not provided in the given context.'],[],[],"[('departments', '1')]",[],"[('departments', '1')]",[]
